D_eff,delta_psi,recent_hits,S_final,fertile,intelligence_score,compression_ratio,fidelity_proxy
8,0.7,1,0.21815488959460055,True,0.6303659306306703,32.0,0.9260731861261341
8,0.7,2,0.21811535702310592,True,0.6301023801540393,32.0,0.926020476030808
8,0.7,3,0.21807586282772937,True,0.6298390855181957,32.0,0.9259678171036392
8,0.8,0,0.2768036115513515,True,0.9786425896576566,32.0,0.9957285179315314
8,0.8,1,0.2767084255500917,True,0.9792771629993889,32.0,0.9958554325998779
8,0.8,2,0.2766133319522832,True,0.979911120318112,32.0,0.9959822240636225
8,0.8,3,0.2765183306662825,True,0.9805444622247833,32.0,0.9961088924449567
8,0.9,0,0.34054040043104417,True,0.5537306637930389,32.0,0.9107461327586078
8,0.9,1,0.3403847337293162,True,0.5547684418045586,32.0,0.9109536883609117
8,0.9,2,0.34022921814372203,True,0.5558052123751864,32.0,0.9111610424750374
8,0.9,3,0.3400738535243882,True,0.5568409765040788,32.0,0.9113681953008158
8,1.0,0,0.40062796007257223,False,0.0,32.0,0.0
8,1.0,1,0.4004152754733251,False,0.0,32.0,0.0
8,1.0,2,0.40020279734131853,False,0.0,32.0,0.0
8,1.0,3,0.3999905254717832,False,0.0,32.0,0.0
8,1.1,0,0.4466980723367052,False,0.0,32.0,0.0
8,1.1,1,0.4464416711852227,False,0.0,32.0,0.0
8,1.1,2,0.4461855189395772,False,0.0,32.0,0.0
8,1.1,3,0.4459296153529099,False,0.0,32.0,0.0
8,1.2,0,0.46766322694354406,False,0.0,32.0,0.0
8,1.2,1,0.467386931673479,False,0.0,32.0,0.0
8,1.2,2,0.46711090462180943,False,0.0,32.0,0.0
8,1.2,3,0.4668351455225229,False,0.0,32.0,0.0
9,0.2,0,0.14833522554056988,False,0.0,36.0,0.0
9,0.2,1,0.14836194492724242,False,0.0,36.0,0.0
9,0.2,2,0.14838863837560984,False,0.0,36.0,0.0
9,0.2,3,0.14841530591139712,False,0.0,36.0,0.0
9,0.3,0,0.13049948160287594,False,0.0,36.0,0.0
9,0.3,1,0.13054312556804834,False,0.0,36.0,0.0
9,0.3,2,0.13058672716508932,False,0.0,36.0,0.0
9,0.3,3,0.13063028643601854,False,0.0,36.0,0.0
9,0.4,0,0.12709824269728096,False,0.0,36.0,0.0
9,0.4,1,0.1271451141440238,False,0.0,36.0,0.0
9,0.4,2,0.12719194008950188,False,0.0,36.0,0.0
9,0.4,3,0.12723872057884222,False,0.0,36.0,0.0
9,0.5,0,0.14052082089268045,False,0.0,36.0,0.0
9,0.5,1,0.140554955473547,False,0.0,36.0,0.0
9,0.5,2,0.14058905691768087,False,0.0,36.0,0.0
9,0.5,3,0.14062312525794624,False,0.0,36.0,0.0
9,0.6,0,0.17134497408566068,False,0.0,36.0,0.0
9,0.6,1,0.17134985921092685,False,0.0,36.0,0.0
9,0.6,2,0.17135473959387348,False,0.0,36.0,0.0
9,0.6,3,0.17135961523920387,False,0.0,36.0,0.0
9,0.7,0,0.2179235187352921,True,0.6288234582352805,36.0,0.9257646916470561
9,0.7,1,0.21788420484995993,True,0.6285613656663995,36.0,0.92571227313328
9,0.7,2,0.2178449291292596,True,0.6282995275283972,36.0,0.9256599055056796
9,0.7,3,0.2178056915353403,True,0.6280379435689352,36.0,0.9256075887137871
9,0.8,0,0.2761518746704541,True,0.9829875021969727,36.0,0.9965975004393945
9,0.8,1,0.2760573071111298,True,0.9836179525924681,36.0,0.9967235905184937
9,0.8,2,0.2759628313548937,True,0.9842477909673755,36.0,0.9968495581934751
9,0.8,3,0.2758684473106976,True,0.9848770179286828,36.0,0.9969754035857366
9,0.9,0,0.33947455325497855,True,0.5608363116334764,36.0,0.9121672623266953
9,0.9,1,0.3393198979500425,True,0.5618673469997165,36.0,0.9123734693999433
9,0.9,2,0.3391653927794094,True,0.5628973814706042,36.0,0.9125794762941208
9,0.9,3,0.3390110375941795,True,0.5639264160388033,36.0,0.9127852832077608
9,1.0,0,0.3991717123523866,False,0.0,36.0,0.0
9,1.0,1,0.3989604096062846,False,0.0,36.0,0.0
9,1.0,2,0.39874931198596536,False,0.0,36.0,0.0
9,1.0,3,0.39853841928799,False,0.0,36.0,0.0
9,1.1,0,0.44494249815022796,False,0.0,36.0,0.0
9,1.1,1,0.4446877628868202,False,0.0,36.0,0.0
