kind,domain,lean_domain,lean_module,tier,record_count,median_error_pct,coverage_tier,precision_status,labs
extension,Founding_White_Dwarf_Cooling_Panel,,FSOT.Formal.FoundingWhiteDwarfCoolingPanelPriors,96,24,0.022461,B_verified,,
extension,Fractal_Constant_Recursion,,FSOT.Formal.FractalConstantRecursionPriors,46,21,0.0,B_verified,,
extension,Fuel_Candidate_Prereg_Scaffold,,FSOT.Formal.FuelCandidatePreregScaffoldPriors,65,33,0.0,B_verified,,
extension,Fuel_Lab_Live_Panel,,FSOT.Formal.FuelLabLivePanelPriors,88,366,0.039349,A_strong,,
extension,Fuel_Thermochemistry_Public_Anchors,,FSOT.Formal.FuelThermochemistryPublicAnchorsPriors,59,24,0.0,B_verified,,
extension,Fusion_Decay_Chain_Prereg_Scaffold,,FSOT.Formal.FusionDecayChainPreregScaffoldPriors,74,24,0.0,B_verified,,
extension,Fusion_Lab_Certificate_Spine,,FSOT.Formal.FusionLabCertificateSpinePriors,71,50,0.0,B_verified,,
extension,Fusion_Physics_Public_Panel,,FSOT.Formal.FusionPhysicsPublicPanelPriors,71,24,9.5e-05,B_verified,,
extension,GBIF_Species_Occurrence,,FSOT.Formal.GbifSpeciesOccurrencePriors,38,240,0.006006,A_strong,,
extension,GWOSC_Live_Event_Deep,,FSOT.Formal.GWOSCLiveEventDeepPriors,58,191,0.008488,A_strong,,
extension,Gaia_Astrometry_Panel_Deep,,FSOT.Formal.GaiaAstrometryPanelDeepPriors,60,62,0.022461,B_verified,,
extension,Gaia_DR3_TAP_Deep,,FSOT.Formal.GaiaDR3TAPDeepPriors,62,1826,0.022461,A_strong,,
extension,Galactic_Structure_Sample,,FSOT.Formal.GalacticStructureSamplePriors,53,101,0.0,A_strong,,
extension,Genomic_Sciences,,FSOT.Formal.GenomicSciencesPriors,66,24,0.0,B_verified,,
extension,Geochemistry,,FSOT.Formal.GeochemistryPriors,26,153,0.006625234573930708,A_strong,,
extension,Geology_Stratigraphy,,FSOT.Formal.GeologyStratigraphyExtensionPriors,35,1960,0.0,A_strong,,
extension,Geomagnetism,,FSOT.Formal.GeomagnetismPriors,21,524,0.0,A_strong,,
extension,Government_Open_Data_Spine,,FSOT.Formal.GovernmentOpenDataSpinePriors,80,28,0.0,B_verified,,
extension,Grace_Cryosphere,,FSOT.Formal.GraceCryospherePriors,23,253,0.0,A_strong,,
extension,HVAC_Thermal_Systems,,FSOT.Formal.HvacThermalSystemsPriors,39,23,0.017836062884411003,B_verified,,
extension,Heavy_Ion_Lab_Synthesis_Panel,,FSOT.Formal.HeavyIonLabSynthesisPanelPriors,73,39,9.5e-05,B_verified,,
extension,Higgs_Mass,,FSOT.Formal.HiggsMassPriors,17,24,0.012112816039879785,B_verified,,
extension,History,,FSOT.Formal.HistoryExtensionPriors,41,170,0.019504399572477397,A_strong,,
